2025-06-10 14:01:56,923: Key: h
2025-06-10 14:01:57,104: Key: e
2025-06-10 14:01:57,774: Key: l
2025-06-10 14:01:57,921: Key: l
2025-06-10 14:01:58,096: Key: o
2025-06-10 14:01:58,336: Special key: Key.space
2025-06-10 14:01:58,702: Key: i
2025-06-10 14:01:58,895: Special key: Key.space
2025-06-10 14:01:59,084: Key: a
2025-06-10 14:01:59,200: Key: m
2025-06-10 14:01:59,347: Special key: Key.space
2025-06-10 14:01:59,674: Key: a
2025-06-10 14:01:59,866: Special key: Key.space
2025-06-10 14:02:00,285: Key: k
2025-06-10 14:02:00,492: Key: e
2025-06-10 14:02:00,706: Key: y
2025-06-10 14:02:00,997: Key: l
2025-06-10 14:02:01,214: Key: o
2025-06-10 14:02:03,039: Key: g
2025-06-10 14:02:03,197: Key: g
2025-06-10 14:02:03,956: Key: e
2025-06-10 14:02:04,190: Key: r
2025-06-10 14:02:04,317: Special key: Key.space
2025-06-10 14:02:05,839: Key: w
2025-06-10 14:02:06,219: Key: =
2025-06-10 14:02:06,781: Special key: Key.backspace
2025-06-10 14:02:07,263: Special key: Key.backspace
2025-06-10 14:02:08,056: Key: h
2025-06-10 14:02:08,285: Key: o
2025-06-10 14:02:08,425: Key: w
2025-06-10 14:02:08,573: Special key: Key.space
2025-06-10 14:02:08,868: Key: a
2025-06-10 14:02:09,142: Key: r
2025-06-10 14:02:09,286: Key: e
2025-06-10 14:02:09,385: Special key: Key.space
2025-06-10 14:02:09,604: Key: u
2025-06-10 14:02:09,823: Special key: Key.space
2025-06-10 14:02:10,293: Special key: Key.shift_r
2025-06-10 14:02:10,496: Key: ?
2025-06-10 14:02:31,544: Special key: Key.alt_l
2025-06-10 14:02:32,265: Special key: Key.alt_l
2025-06-10 14:02:32,397: Special key: Key.tab
2025-06-10 14:24:21,298: h
2025-06-10 14:24:21,458: e
2025-06-10 14:24:21,648: l
2025-06-10 14:24:21,857: o
2025-06-10 14:24:21,992: o
2025-06-10 14:24:22,216: [Key.space]
2025-06-10 14:24:23,592: i
2025-06-10 14:24:23,795: [Key.space]
2025-06-10 14:24:23,952: a
2025-06-10 14:24:24,042: m
2025-06-10 14:24:24,248: [Key.space]
2025-06-10 14:24:24,611: a
2025-06-10 14:24:24,742: [Key.space]
2025-06-10 14:24:24,911: n
2025-06-10 14:24:25,062: e
2025-06-10 14:24:25,245: w
2025-06-10 14:24:25,400: [Key.space]
2025-06-10 14:24:25,899: k
2025-06-10 14:24:26,067: e
2025-06-10 14:24:26,217: y
2025-06-10 14:24:26,480: l
2025-06-10 14:24:26,686: o
2025-06-10 14:24:26,918: g
2025-06-10 14:24:27,067: g
2025-06-10 14:24:27,201: e
2025-06-10 14:24:27,473: [Key.space]
2025-06-10 14:24:28,360: [Key.backspace]
2025-06-10 14:24:28,573: r
2025-06-10 14:24:28,730: [Key.space]
2025-06-10 14:24:32,866: d
2025-06-10 14:24:33,787: [Key.backspace]
2025-06-10 14:24:35,454: d
2025-06-10 14:24:35,623: i
2025-06-10 14:24:35,987: d
2025-06-10 14:24:36,163: [Key.space]
2025-06-10 14:24:36,354: i
2025-06-10 14:24:36,814: [Key.backspace]
2025-06-10 14:24:37,135: u
2025-06-10 14:24:37,322: [Key.space]
2025-06-10 14:24:37,535: g
2025-06-10 14:24:37,679: e
2025-06-10 14:24:37,785: t
2025-06-10 14:24:37,931: [Key.space]
2025-06-10 14:24:38,259: i
2025-06-10 14:24:38,440: t
2025-06-10 14:24:38,545: [Key.space]
2025-06-10 14:24:40,218: n
2025-06-10 14:24:40,483: o
2025-06-10 14:24:40,624: o
2025-06-10 14:24:40,807: b
2025-06-10 14:24:40,935: s
2025-06-10 14:24:41,077: [Key.enter]
2025-06-10 14:45:33,273: h
2025-06-10 14:45:33,412: e
2025-06-10 14:45:33,597: l
2025-06-10 14:45:33,783: l
2025-06-10 14:45:33,967: o
2025-06-10 14:45:34,222: [Key.space]
2025-06-10 14:45:34,531: w
2025-06-10 14:45:34,719: o
2025-06-10 14:45:34,869: r
2025-06-10 14:45:35,015: l
2025-06-10 14:45:35,302: [Key.space]
2025-06-10 14:45:35,678: [Key.backspace]
2025-06-10 14:45:35,917: d
2025-06-10 14:45:36,080: [Key.space]
2025-06-10 14:45:37,122: h
2025-06-10 14:45:37,316: o
2025-06-10 14:45:37,435: w
2025-06-10 14:45:37,575: [Key.space]
2025-06-10 14:45:37,719: a
2025-06-10 14:45:37,917: r
2025-06-10 14:45:38,049: e
2025-06-10 14:45:38,143: [Key.space]
2025-06-10 14:45:38,339: u
2025-06-10 14:45:38,526: [Key.space]
2025-06-10 14:45:39,605: e
2025-06-10 14:45:39,764: t
2025-06-10 14:45:39,908: c
2025-06-10 14:45:40,456: [Key.space]
2025-06-10 14:45:41,638: .
2025-06-10 14:45:41,854: .
2025-06-10 14:45:42,015: .
2025-06-10 14:45:49,073: [Key.cmd]
2025-06-10 14:45:51,742: t
2025-06-10 14:45:51,897: e
2025-06-10 14:45:58,093: h
2025-06-10 14:45:58,218: e
2025-06-10 14:45:58,618: y
2025-06-10 14:45:58,809: [Key.space]
2025-06-10 14:45:59,033: h
2025-06-10 14:45:59,218: w
2025-06-10 14:45:59,226: o
2025-06-10 14:45:59,431: [Key.space]
2025-06-10 14:45:59,555: a
2025-06-10 14:45:59,703: r
2025-06-10 14:45:59,836: e
2025-06-10 14:45:59,926: [Key.space]
2025-06-10 14:46:00,175: y
2025-06-10 14:46:00,490: [Key.space]
2025-06-10 14:46:01,547: n
2025-06-10 14:46:01,918: ;
2025-06-10 14:46:01,919: l
2025-06-10 14:46:02,029: m
2025-06-10 14:46:02,040: s
2025-06-10 14:46:02,079: k
2025-06-10 14:46:02,214: l
2025-06-10 14:46:02,351: a
2025-06-10 14:46:02,352: i
2025-06-10 14:46:02,378: l
2025-06-10 14:46:02,513: [Key.space]
